"studyName" "downloaded" "metadata" "imported" "PCAmodel_677" "PCAmodel_1399" "PCAmodel_536" "title"
"39" "DRP004207" "2" "2" "FALSE" "FALSE" "FALSE" "FALSE" "ShRNA-mediated SALL4 knockdown stud"
"40" "DRP004271" "2" "2" "FALSE" "FALSE" "FALSE" "FALSE" "Expression profiles of HB1119 and 293T cell lines"
"41" "DRP004279" "4" "4" "FALSE" "FALSE" "FALSE" "FALSE" "RNA sequencing of VHL reintroduction in RCC4 cells"
"42" "DRP004290" "6" "6" "FALSE" "FALSE" "FALSE" "FALSE" "Control vs ferrichrome"
"43" "DRP004300" "0" "2" "FALSE" "FALSE" "FALSE" "FALSE" "Analysis of small RNAs interacting with TRBP"
"44" "DRP004370" "2" "2" "FALSE" "FALSE" "FALSE" "FALSE" "UHRF1-KAT7 complex regulates H3K14 modification"
"45" "DRP004385" "6" "6" "FALSE" "FALSE" "FALSE" "FALSE" "Gene expression profiles in human breast tumor cell line MCF7"
"46" "DRP004433" "6" "6" "FALSE" "FALSE" "FALSE" "FALSE" "Global transcriptional differences between a deprivation- resistant RCC and a deprivation-sensitive RCC"
"47" "DRP004442" "0" "6" "FALSE" "FALSE" "FALSE" "FALSE" "RNA-seq analysis of RPTEC under hypoxic condition with Dznep."
"48" "DRP004445" "6" "6" "FALSE" "FALSE" "FALSE" "FALSE" "RNA-seq analysis of HK2 under hypoxic condition with Dznep."
"49" "DRP004517" "1" "35" "FALSE" "FALSE" "FALSE" "FALSE" "Study: DRP004517"
"50" "DRP004576" "2" "2" "FALSE" "FALSE" "FALSE" "FALSE" "Primary B cells infected with Epstein-Barr virus"
"51" "DRP004645" "16" "17" "FALSE" "FALSE" "FALSE" "FALSE" "RNA-seq of left ventricular tissue"
"52" "DRP004695" "4" "4" "FALSE" "FALSE" "FALSE" "FALSE" "Induced pluripotent stem cell (201B7) classified by morphological difference"
"53" "DRP004718" "5" "5" "FALSE" "FALSE" "FALSE" "FALSE" "human induced pluripotent stem cell containing a human artificial chromosome vector"
"54" "DRP004910" "4" "4" "FALSE" "FALSE" "FALSE" "FALSE" "RNA-seq of the lung adenocarcinoma cell line H1299 transfected with negative control or PLK1 siRNA."
"55" "DRP005114" "4" "4" "FALSE" "FALSE" "FALSE" "FALSE" "Akt Inhibition Synergizes with PRC2 inhibition in the Treatment of Multiple Myeloma"
"56" "DRP005256" "12" "12" "FALSE" "FALSE" "FALSE" "FALSE" "Post-transcriptional regulation of immune system by RNase Regnase-1"
"57" "ERP000546" "48" "48" "FALSE" "FALSE" "FALSE" "FALSE" "Illumina bodyMap2 transcriptome"
"58" "ERP000573" "10" "10" "FALSE" "FALSE" "FALSE" "FALSE" "RNA and chromatin structure"
"59" "ERP000619" "3" "13" "FALSE" "FALSE" "FALSE" "FALSE" "ExpressionPlot: A web-based framework for analysis of RNA-Seq and microarray gene expression data"
"60" "ERP000710" "1" "12" "FALSE" "FALSE" "FALSE" "FALSE" "Transciptome profiling of ovarian cancer cell lines"
"61" "ERP000799" "1" "1" "FALSE" "FALSE" "FALSE" "FALSE" "Transcription profiling by RNA-seq"
"62" "ERP000992" "18" "18" "FALSE" "FALSE" "FALSE" "FALSE" "The effect of estrogen and progesterone and their antagonists in Ishikawa cell line compared to MCF7 and T47D cells"
"63" "ERP001115" "0" "1" "FALSE" "FALSE" "FALSE" "FALSE" "Transcription profiling by high throughput sequencing of in vitro differentiated megakaryocytes"
"64" "ERP001304" "18" "18" "FALSE" "FALSE" "FALSE" "FALSE" "mRNA Sequencing of STG in schizophrenia"
"65" "ERP001317" "13" "14" "FALSE" "FALSE" "FALSE" "FALSE" "Sequencing_of_small_transcript_processed_RNAs_from_T_cells_that_are_involved_in_gene_expression_regulation_and_control_of_the_immune_response_"
"66" "ERP001458" "8" "8" "FALSE" "FALSE" "FALSE" "FALSE" "Transcription profiling by high throughput sequencing of HNRNPC knockdown and control HeLa cells"
"67" "ERP001782" "3" "3" "FALSE" "FALSE" "FALSE" "FALSE" "HeLa Adenovirus timecourse"
"68" "ERP001895" "2" "2" "FALSE" "FALSE" "FALSE" "FALSE" "lncRNAs at 13q14.3"
"69" "ERP001908" "63" "63" "TRUE" "TRUE" "TRUE" "TRUE" "CIT_VADS_BW_OMICS"
"70" "ERP001942" "100" "667" "FALSE" "FALSE" "FALSE" "FALSE" "RNA-sequencing of 465 lymphoblastoid cell lines from the 1000 Genomes"
"71" "ERP001948" "3" "4" "FALSE" "FALSE" "FALSE" "FALSE" "Total RNA from three cell lines (A431, U2OS, U251MG) were sequenced."
"72" "ERP001971" "5" "6" "FALSE" "FALSE" "FALSE" "FALSE" "IGR_MERCHER_LAM7"
"73" "ERP002021" "8" "12" "FALSE" "FALSE" "FALSE" "FALSE" "CA9 Transcriptional Profiling Experiment"
"74" "ERP002049" "6" "7" "FALSE" "FALSE" "FALSE" "FALSE" "Common fusion transcripts identified in colorectal cancer cell lines by high throughput RNA sequencing"
"75" "ERP002063" "14" "17" "FALSE" "FALSE" "FALSE" "FALSE" "A significant number of human malignancies -- for instance, most cancers of the cervix and the liver -- are caused by infections with tumor viruses. Identification of these pathogens is now considered a critical contribution to cancer prevention. Deep sequencing enables us to systematically investigate transcription of both known and novel viruses in order to either verify or exclude the existence of viruses in idiopathic human cancers. We have developed a novel computational approach for identifying tumor viruses that addresses several important biological factors that may confound detection. We applied our method in the first systematic search, to our knowledge, for cancer-causing viruses in metastatic neuroblastoma, the most common form of cancer in infancy."
"76" "ERP002075" "5" "5" "FALSE" "FALSE" "FALSE" "FALSE" "RNAseq sequencing of 5 unrelated individuals to study RNA-DNA Differences in Human Mitochondria Restore Ancestral Form of 16S Ribosomal RNA"
"77" "ERP002232" "4" "4" "FALSE" "FALSE" "FALSE" "FALSE" "Limbal Niche"
"78" "ERP002319" "6" "59" "FALSE" "FALSE" "FALSE" "FALSE" "RNA-Seq of healthy human dendritic cells after challenge with four different fungal pathogens, and of four fungal pathogens after challenge with healthy human dendritic cells, SYBARIS project."
"79" "ERP002323" "15" "42" "FALSE" "FALSE" "FALSE" "FALSE" "RNA-Seq of human dendritic cells from aspergillosis and asthma patients after challenge with Aspergillus fumigatus, SYBARIS project."
"80" "ERP002414" "9" "9" "FALSE" "FALSE" "FALSE" "FALSE" "human_plasma"
"81" "ERP002588" "7" "7" "FALSE" "FALSE" "FALSE" "FALSE" "RNA-seq data for cell lines in the haematopoietic lineages, hematological malignancy"
"82" "ERP003259" "12" "12" "FALSE" "FALSE" "FALSE" "FALSE" "RNA-Seq after knockdown of SON in human embryonic stem cells"
"83" "ERP003460" "12" "12" "FALSE" "FALSE" "FALSE" "FALSE" "Influence of RNA extraction methods and library selection schemes on RNA-seq data"
"84" "ERP003467" "10" "18" "FALSE" "FALSE" "FALSE" "FALSE" "VZV infection of primary keratinocytes"
"85" "ERP003471" "4" "12" "FALSE" "FALSE" "FALSE" "FALSE" "RNA-seq transcript assembly evaluation"
"86" "ERP003495" "8" "8" "FALSE" "FALSE" "FALSE" "FALSE" "GSK-inhibitor treatment in IMR32 neuroblastoma cell line"
"87" "ERP003536" "18" "20" "FALSE" "FALSE" "FALSE" "FALSE" "RNA-seq read alignment evaluation"
"88" "ERP003613" "100" "171" "TRUE" "TRUE" "TRUE" "TRUE" "HPA RNA-seq normal tissues"
"89" "ERP003617" "0" "2" "FALSE" "FALSE" "FALSE" "FALSE" "Global variability in gene expression and alternative splicing is modulated by mitochondrial content."
"90" "ERP003789" "4" "4" "FALSE" "FALSE" "FALSE" "FALSE" "Osteogenesis RNA-Seq"
"91" "ERP003791" "21" "21" "TRUE" "FALSE" "TRUE" "FALSE" "IGR_U985_RNASeq"
"92" "ERP003815" "3" "3" "FALSE" "FALSE" "FALSE" "FALSE" "AKS1-S3"
"93" "ERP003917" "100" "102" "FALSE" "FALSE" "FALSE" "FALSE" "Identification of putative target genes of the transcription factor RUNX2"
"94" "ERP003933" "34" "34" "TRUE" "FALSE" "TRUE" "FALSE" "Epigenetic_regulatory_pathways_in_human_leukaemia"
"95" "ERP004062" "2" "2" "FALSE" "FALSE" "FALSE" "FALSE" "BPA impacts on HEK 293 cells"
"96" "ERP004078" "14" "14" "FALSE" "FALSE" "FALSE" "FALSE" "Coordinated effects of sequence variation on DNA binding, chromatin structure, and transcription."
"97" "ERP004151" "4" "4" "FALSE" "FALSE" "FALSE" "FALSE" "RNA-seq of mRNA from MCF7 breast cancer cells and samples derived from normal breast tissues"
"98" "ERP004211" "6" "6" "FALSE" "FALSE" "FALSE" "FALSE" "RNA-Seq of 3iL human embryonic stem cells"
"99" "ERP004269" "12" "12" "FALSE" "FALSE" "FALSE" "FALSE" "RNA-seq"
"100" "ERP004270" "6" "6" "FALSE" "FALSE" "FALSE" "FALSE" "Ago2-bound ShortRnas in HCT116 cell line and Dicer_hypomorphic(DICER_Ex5 cells) HCT116 cell line"
"101" "ERP004298" "4" "4" "FALSE" "FALSE" "FALSE" "FALSE" "RNA-Seq after knockdown of the endogeneous retrovirus HERVH in human embryonic stem cells"
"102" "ERP004352" "3" "3" "FALSE" "FALSE" "FALSE" "FALSE" "AGO2 bound short RNAs in Jurkat cell line"
"103" "ERP004375" "100" "1476" "FALSE" "FALSE" "FALSE" "FALSE" "Cellular_phenotyping_of_host_pathogen_interactions"
"104" "ERP004399" "0" "4" "FALSE" "FALSE" "FALSE" "FALSE" "miR-522 IMPACT-seq in MDA-MB-468"
"105" "ERP004402" "6" "6" "FALSE" "FALSE" "FALSE" "FALSE" "RNA-seq of AGO2 knock-down HeLaS3 cell line"
"106" "ERP004573" "6" "9" "FALSE" "FALSE" "FALSE" "FALSE" "Human_transcriptome_comparison_in_response_to_Staphylococcus_aureus_exposure"
"107" "ERP004592" "23" "23" "TRUE" "FALSE" "TRUE" "FALSE" "RNA-seq of micro RNAs (miRNAs) in Human prefrontal cortex to identify differentially expressed miRNAs between Huntington's Disease and control brain samples"
"108" "ERP004617" "7" "7" "FALSE" "FALSE" "FALSE" "FALSE" "RNA-Seq of Acute Myeloid Leukemia Cell lines with a 3q-aberration and Acute Myeloid Leukemia cell line controls"
"109" "ERP004682" "6" "6" "FALSE" "FALSE" "FALSE" "FALSE" "Transcriptional profiling upon knockdown of the RNA-binding protein Unkempt"
"110" "ERP004683" "5" "5" "FALSE" "FALSE" "FALSE" "FALSE" "Ribosome profiling upon overexpression of the RNA-binding protein Unkempt"
"111" "ERP004684" "7" "12" "FALSE" "FALSE" "FALSE" "FALSE" "Transcriptome-wide mapping of RNA binding sites of the RNA-binding protein Unkempt using iCLIP-seq"
"112" "ERP004697" "8" "8" "FALSE" "FALSE" "FALSE" "FALSE" "Allele-Specific Expression in Human Brain and Liver"
"113" "ERP005189" "6" "6" "FALSE" "FALSE" "FALSE" "FALSE" "Human corneas treated with 'cold plasma' (APCP) in presence or absence of NAC"
"114" "ERP005274" "2" "2" "FALSE" "FALSE" "FALSE" "FALSE" "Human granulosa"
"115" "ERP005301" "8" "8" "FALSE" "FALSE" "FALSE" "FALSE" "Long non-coding RNAs and enhancer RNAs regulate the lipopolysaccharide-induced inflammatory response in human monocytes"
"116" "ERP005426" "6" "6" "FALSE" "FALSE" "FALSE" "FALSE" "heat shock SUMO-2 RNA-seq"
"117" "ERP005583" "4" "4" "FALSE" "FALSE" "FALSE" "FALSE" "293_hORF3.1_drug_treatments_partII"
"118" "ERP005598" "9" "9" "FALSE" "FALSE" "FALSE" "FALSE" "RNA-seq of achilles tendon from young and old donors to study age-related changes in tendon"
"119" "ERP005876" "12" "12" "FALSE" "FALSE" "FALSE" "FALSE" "Effect of hypoxia on the Represser Element-1 Silencing Transcription factor (REST) in Human"
"120" "ERP005938" "5" "57" "FALSE" "FALSE" "FALSE" "FALSE" "RNAseq of matched normal epithelium, oral dysplasia and oral squamous cell carcinoma using strand-specific methods that capture both coding and non-coding genes"
"121" "ERP005953" "18" "18" "FALSE" "FALSE" "FALSE" "FALSE" "Isolation and Characterization of Clonal Adult Human Brown Adipocytes"
"122" "ERP006028" "2" "8" "FALSE" "FALSE" "FALSE" "FALSE" "RNA-Seq of YM155 treated KMB7 wild-type and SLC35F2 knock-out cells"
"123" "ERP006077" "1" "15" "FALSE" "FALSE" "FALSE" "FALSE" "Heterogeneity in the inter-tumor transcriptome of high risk prostate cancer"
"124" "ERP006097" "2" "16" "FALSE" "FALSE" "FALSE" "FALSE" "Microbe enriched dual RNA sequencing of Mycobacterium bovis BCG infecting macrophage-like THP-1 cells"
"125" "ERP006112" "0" "2" "FALSE" "FALSE" "FALSE" "FALSE" "Gene expression and alternative splicing analysis of breast carcinoma cells treated by cisplatin."
"126" "ERP006121" "100" "124" "TRUE" "TRUE" "TRUE" "TRUE" "Functional and genetic heterogeneity of distinctive leukaemic stem cell populations in CD34- human Acute Myeloid Leukaemia"
"127" "ERP006185" "0" "12" "FALSE" "FALSE" "FALSE" "FALSE" "Retinoic acid and Azakenpoullone treatment in SH-SY5Y/6TR(EU)/pTrex-Dest-30/MYCN cell line in high and low MYCN levels"
"128" "ERP006200" "8" "16" "FALSE" "FALSE" "FALSE" "FALSE" "Isoform-specific depletion of U2AF1"
"129" "ERP006216" "29" "38" "TRUE" "FALSE" "TRUE" "FALSE" "Global_gene_expression_profiles_during_differentiation_of_human_induced_pluripotent_stem_cells_to_macrophages"
"130" "ERP006368" "12" "24" "FALSE" "FALSE" "FALSE" "FALSE" "A3G and A3F CLIP"
"131" "ERP006533" "8" "8" "FALSE" "FALSE" "FALSE" "FALSE" "Neuroblastoma cell lines"
"132" "ERP006538" "16" "18" "FALSE" "FALSE" "FALSE" "FALSE" "MYCN overexpression in SH-SY5Y/6TR(EU)/pTrex-Dest-30/MYCN cell line"
"133" "ERP006577" "10" "10" "FALSE" "FALSE" "FALSE" "FALSE" "The Risk-Associated Long Noncoding RNA NBAT-1 Controls Neuroblastoma Progression by Regulating Cell Proliferation and Neuronal Differentiation."
"134" "ERP006650" "1" "4" "FALSE" "FALSE" "FALSE" "FALSE" "RNA-seq of coding RNA from tissue samples of 127 human individuals representing 32 different tissues."
"135" "ERP006662" "84" "3540" "FALSE" "FALSE" "FALSE" "FALSE" "Single_cell_transcriptomics_of_haemopoetic_stem_and_progenitor_cells_"
"136" "ERP006696" "12" "48" "FALSE" "FALSE" "FALSE" "FALSE" "Olfactory_transcriptomics_in_mammals"
"137" "ERP006823" "6" "15" "FALSE" "FALSE" "FALSE" "FALSE" "RNA sequencing of conventional and reset human pluripotent stem cells"
"138" "ERP006834" "10" "4234" "FALSE" "FALSE" "FALSE" "FALSE" "Single_cell_sequencing_of_early_mouse_embryos"
"139" "ERP006872" "0" "2" "FALSE" "FALSE" "FALSE" "FALSE" "Human gastric organoids (34 days)"
"140" "ERP006964" "6" "6" "FALSE" "FALSE" "FALSE" "FALSE" "DUSP4 deficiency due to promoter hypermethylation drives oncogenic JNK signaling and tumor cell survival in diffuse large B-cell lymphoma"
"141" "ERP007008" "3" "3" "FALSE" "FALSE" "FALSE" "FALSE" "Expression profiling by high throughput sequencing"
"142" "ERP007109" "16" "16" "FALSE" "FALSE" "FALSE" "FALSE" "Timecourse total transcriptome sequencing of MCF10A cells undergoing acinus formation."
"143" "ERP007111" "100" "764" "FALSE" "FALSE" "FALSE" "FALSE" "HipSci___RNAseq___healthy_volunteers"
"144" "ERP007170" "0" "38" "FALSE" "FALSE" "FALSE" "FALSE" "Functional germ line stem cells do not exist in adult mammalian ovaries"
"145" "ERP007180" "12" "134" "FALSE" "FALSE" "FALSE" "FALSE" "Dynamic_Equilibrium_of_human_ESC_populations"
"146" "ERP007185" "32" "57" "FALSE" "FALSE" "FALSE" "FALSE" "RNAseq of matched normal epithelium, oral dysplasia and oral squamous cell carcinoma using strand-specific methods that capture both coding and non-coding genes"
"147" "ERP008445" "18" "18" "FALSE" "FALSE" "FALSE" "FALSE" "RNA content of transcription factories"
"148" "ERP008458" "7" "7" "FALSE" "FALSE" "FALSE" "FALSE" "Regulation of constitutive and alternative messenger RNA splicing across the human transcriptome by PRPF8 is determined by 5' splice site strength"
"149" "ERP008492" "11" "11" "FALSE" "FALSE" "FALSE" "FALSE" "RNA-seq of osteosarcoma cell lines"
"150" "ERP008608" "86" "87" "TRUE" "TRUE" "TRUE" "TRUE" "RNA-Seq analysis of human fibroblasts, induced neurons and cortex from donors of several ages"
"151" "ERP008803" "6" "6" "FALSE" "FALSE" "FALSE" "FALSE" "A genomewide map of PPARb/d target genes in human macrophages identifies a unique agonist-induced activation state - RNAseq"
"152" "ERP008834" "4" "4" "FALSE" "FALSE" "FALSE" "FALSE" "RNA-Seq of wild-type HEK293 and K562 celllines"
"153" "ERP008967" "100" "108" "TRUE" "TRUE" "TRUE" "TRUE" "Mapping_embryonic_stem_cell_surface_interactions_to_transcriptional_phenotypes"
"154" "ERP008992" "9" "9" "FALSE" "FALSE" "FALSE" "FALSE" "Transcriptional Profiling of human pluripotent stem cells and and derived tissues"
"155" "ERP009022" "13" "13" "FALSE" "FALSE" "FALSE" "FALSE" "Deregulation of PPAR-beta/delta target genes in tumor-associated macrophages by fatty acid ligands in the ovarian cancer microenvironment - RNAseq"
"156" "ERP009050" "4" "4" "FALSE" "FALSE" "FALSE" "FALSE" "Detection of posttranscriptional inosine modification at the precursor tRNA level"
"157" "ERP009114" "6" "6" "FALSE" "FALSE" "FALSE" "FALSE" "Metagenomics of sputum from patients with respiratory infection"
"158" "ERP009260" "20" "20" "FALSE" "FALSE" "FALSE" "FALSE" "Differential expression analysis by RNA-Seq reveals perturbations in the platelet mRNA transcriptome triggered by pathogen reduction systems"
"159" "ERP009263" "2" "2" "FALSE" "FALSE" "FALSE" "FALSE" "Genome-wide profiling analysis reveals annexin A6 is a novel EZH2 target gene involving gastric cellular proliferation"
"160" "ERP009282" "18" "18" "FALSE" "FALSE" "FALSE" "FALSE" "Systems biology approaches reveal low-dose effects of nanoparticles"
"161" "ERP009283" "6" "6" "FALSE" "FALSE" "FALSE" "FALSE" "The RNA binding protein Quaking regulates formation of circRNAs"
"162" "ERP009295" "1" "8" "FALSE" "FALSE" "FALSE" "FALSE" "Global_RNA_expression_patterns_in_endodermal_differentiated_cells_"
"163" "ERP009309" "9" "9" "FALSE" "FALSE" "FALSE" "FALSE" "Senescent and myofibroblastic cancer-associated fibroblasts share a contractile phenotype regulated by NOX4 generation of reactive oxygen species in the tumour microenvironment"
"164" "ERP009437" "100" "352" "TRUE" "TRUE" "TRUE" "TRUE" "RNAseq of left ventricle heart tissue of 128 dilated cardiomyopathy (DCM) cases"
"165" "ERP009514" "16" "23" "FALSE" "FALSE" "FALSE" "FALSE" "ribo-depleted RNA-Seq of HepG2 cells exposed to Benzo[a]pyrene for 6,12,18,24,36 and 48h."
"166" "ERP009612" "6" "6" "FALSE" "FALSE" "FALSE" "FALSE" "Transcriptional characterization of Human Lung Organoids (HLOs) using RNAseq"
"167" "ERP009695" "14" "563" "FALSE" "FALSE" "FALSE" "FALSE" "Epigenetic_regulation_of_pre_implantation_development"
"168" "ERP009756" "11" "11" "FALSE" "FALSE" "FALSE" "FALSE" "Transcriptome profiling of human pancreatic cell lineage specification reveals functional signaling pathways and lncRNAs for cell fate determination"
"169" "ERP009768" "45" "58" "FALSE" "FALSE" "FALSE" "FALSE" "Human granulocyte transcriptome annotation and analysis reveals increased expression variability for lncRNAs compared to mRNAs in healthy individuals"
"170" "ERP009793" "9" "9" "FALSE" "FALSE" "FALSE" "FALSE" "PPARβ/δ ligand response in monocyte derived macrophages"
"171" "ERP009841" "6" "6" "FALSE" "FALSE" "FALSE" "FALSE" "Olfactory_transcriptomics_in_humans"
"172" "ERP009913" "6" "6" "FALSE" "FALSE" "FALSE" "FALSE" "RNA-seq comparison: before/after MARIS protocol and library construction technique test"
"173" "ERP009935" "6" "7" "FALSE" "FALSE" "FALSE" "FALSE" "RNA-seq of Ins+ cells in human differentiation protocol across lines and isolated from human islets"
"174" "ERP009992" "24" "24" "TRUE" "FALSE" "TRUE" "FALSE" "The definition of SCA2 blood RNA biomarkers highlights Ataxin-2 as strong modifier of mitochondrial factors like PINK1"
"175" "ERP010003" "40" "40" "TRUE" "FALSE" "TRUE" "FALSE" "BLOOD BIOMARKERS OF RISK FOR SYNUCLEINOPATHY,  A VARIANT OF PARKINSON’S DISEASE"
"176" "ERP010060" "17" "17" "FALSE" "FALSE" "FALSE" "FALSE" "RNA-seq of NEAT1 knockdown in neuronal excitability"
"177" "ERP010065" "5" "8" "FALSE" "FALSE" "FALSE" "FALSE" "Baseline gene expression profile of human extrahepatic biliary cells/biliospheres in vitro"
"178" "ERP010082" "16" "16" "FALSE" "FALSE" "FALSE" "FALSE" "Baseline miRNA expression profile of human extrahepatic biliary cells/biliospheres in vitro"
"179" "ERP010177" "14" "14" "FALSE" "FALSE" "FALSE" "FALSE" "Alu element-containing RNAs maintain nucleolar structure and function"
"180" "ERP010227" "48" "48" "TRUE" "FALSE" "TRUE" "FALSE" "Transcriptome analysis reveals a classical interferon signature induced by IFNλ4 in human primary cells."
"181" "ERP010353" "16" "19" "FALSE" "FALSE" "FALSE" "FALSE" "CTTV020_epigenomes_of_cell_lines_PILOT___RNA"
"182" "ERP010372" "32" "32" "FALSE" "FALSE" "FALSE" "FALSE" "Transcriptome of Normal and Cystic Fibrosis Human Bronchial Epithelial Cells Infected with Pseudomonas Aeruginosa"
"183" "ERP010522" "0" "2" "FALSE" "FALSE" "FALSE" "FALSE" "Jinfukang induces cellular apoptosis through activation of Fas and DR4 in A549 cells"
"184" "ERP010553" "18" "18" "FALSE" "FALSE" "FALSE" "FALSE" "Posttranscriptional mRNA expression changes in stress"
